99/05/27,1683234,72360946,41.25,44.65,40.9,44.65,+2.90,1017
99/05/28,2002055,93503572,46.0,47.75,46.0,47.75,+3.10,1112
99/05/31,2577528,125476247,48.0,49.4,47.7,47.75, 0.00,1360
99/06/01,769565,36658935,47.2,48.5,46.8,47.5,-0.25,463
99/06/02,895908,42873234,47.1,48.5,47.1,48.0,+0.50,562
99/06/03,666700,32270527,48.9,49.2,48.0,48.2,+0.20,414
99/06/04,456288,21860993,48.5,48.5,47.6,47.7,-0.50,308
99/06/07,381634,17366949,45.7,46.0,45.2,45.7,-2.00,287
99/06/08,385585,17676110,45.7,46.3,45.3,46.0,+0.30,268
99/06/09,666305,29847620,46.3,46.3,43.5,43.6,-2.40,407
99/06/10,428629,18689700,43.6,44.3,42.9,44.2,+0.60,290
99/06/11,475238,21598989,45.15,46.1,44.8,45.55,+1.35,304
99/06/14,211735,9619088,45.0,45.8,45.0,45.5,-0.05,143
99/06/15,320225,14692915,45.5,46.1,45.4,45.65,+0.15,222
99/06/17,997204,47769349,46.2,48.8,46.1,48.8,+3.15,524
99/06/18,4238952,212536440,49.8,51.2,49.0,49.0,+0.20,1991
99/06/21,879158,42867156,49.2,49.6,48.3,48.75,-0.25,550
99/06/22,651909,32103166,48.8,49.8,48.6,49.0,+0.25,455
99/06/23,379469,18543953,49.0,49.5,48.5,48.5,-0.50,265
99/06/24,431945,21056830,48.6,49.0,48.5,48.55,+0.05,286
99/06/25,331276,15910663,48.45,48.45,47.55,47.7,-0.85,223
99/06/28,224570,10738436,47.7,48.2,47.5,47.95,+0.25,131
99/06/29,269546,12934270,48.15,48.5,47.5,47.95, 0.00,168
99/06/30,282264,13007444,46.55,46.8,45.05,46.1,-1.85,184
99/07/01,235048,10767701,46.1,46.1,45.6,45.7,-0.40,141
99/07/02,210162,9723202,45.7,46.7,45.7,46.0,+0.30,142
99/07/05,218152,10129090,46.45,46.8,46.2,46.8,+0.80,150
99/07/06,481824,22955541,46.65,48.2,46.6,48.0,+1.20,312
