3083,網龍,35.50,+0.70,35.20,36.50,33.90,35.16,"375,000","13,186,650",267,35.50,35.85,"85,704,358",35.50,39.05,31.95
3085,新零售,12.25,-0.75 ,13.45,13.45,11.75,12.14,"225,001","2,730,662",109,12.00,12.25,"118,081,713",12.25,13.45,11.05
3086,華義,14.50,0.00 ,14.50,14.50,14.50,14.50,"3,000","43,500",3,14.20,14.50,"61,166,127",14.50,15.95,13.05
3088,艾訊,57.00,-0.20 ,57.20,57.20,56.80,57.01,"66,380","3,784,450",65,57.00,57.20,"79,418,034",57.00,62.70,51.30
3089,遠昇,15.45,+0.45,15.10,15.50,15.10,15.16,"26,070","395,169",18,15.10,15.45,"60,113,314",15.45,16.95,13.95
3092,鴻碩,42.15,-0.65 ,43.20,43.20,42.15,42.44,"186,056","7,896,730",122,42.15,42.50,"71,193,155",42.15,46.35,37.95
3093,港建,25.15,-0.10 ,25.15,25.60,24.55,25.23,"39,000","984,000",30,25.10,25.25,"36,288,894",25.15,27.65,22.65
3095,及成,3.40,-0.10 ,3.33,3.40,3.33,3.36,"26,393","88,596",9,3.40,3.49,"109,276,321",3.40,3.74,3.06
3105,穩懋,159.00,+3.50,155.00,162.50,152.50,158.38,"11,171,973","1,769,388,159","7,395",158.50,159.00,"422,666,384",159.00,174.50,143.50
3114,好德,32.50,+2.95,31.20,32.50,31.00,32.36,"2,498,154","80,833,550",795,32.50,0.00,"52,014,239",32.50,35.75,29.25
3115,寶島極,20.00,0.00 ,20.00,20.00,19.95,20.00,"48,000","959,900",29,20.00,20.20,"43,697,600",20.00,22.00,18.00
3118,進階,30.60,+0.20,30.60,30.70,30.60,30.61,"7,002","214,361",4,30.60,30.75,"32,452,860",30.60,33.65,27.55
3122,笙泉,15.90,0.00 ,15.60,15.90,15.30,15.44,"51,000","787,650",25,15.85,15.90,"39,299,934",15.90,17.45,14.35
3128,昇銳,12.20,+0.25,12.10,12.30,12.10,12.20,"71,003","866,436",53,12.20,12.25,"42,000,000",12.20,13.40,11.00
3131,弘塑,119.00,+3.50,115.50,119.00,115.50,116.65,"27,001","3,149,627",24,116.50,118.50,"24,683,843",119.00,130.50,107.50
3141,晶宏,36.30,+0.40,36.45,36.75,35.70,36.25,"932,150","33,787,150",610,36.30,36.40,"63,417,496",36.30,39.90,32.70
3144,新揚科,24.00,+0.20,21.75,24.45,21.75,23.20,"650,000","15,080,300",376,24.00,24.05,"100,637,750",24.00,26.40,21.60
3147,大綜,17.85,-0.20 ,18.05,18.05,17.30,17.49,"101,000","1,766,250",49,17.65,17.85,"34,006,099",17.85,19.60,16.10
3152,璟德,234.00,-3.50 ,238.50,241.00,233.00,236.04,"125,048","29,516,236",110,234.00,235.50,"69,016,200",234.00,257.00,211.00
3162,精確,27.15,+1.45,25.70,27.15,23.25,25.46,"27,000","687,450",25,24.05,27.15,"126,531,342",27.15,29.85,24.45
3163,波若威,35.20,+0.55,34.80,35.40,34.05,34.87,"190,000","6,624,700",140,35.15,35.20,"75,300,399",35.20,38.70,31.70
