006201,元大富櫃50,12.27,-0.07 ,12.34,12.34,12.25,12.27,"120,000","1,472,730",29,12.25,12.27,"16,446,000",12.27,13.49,11.05
2235,謚源,53.50,-0.70 ,54.00,54.00,53.20,53.55,"6,007","321,674",7,53.30,53.50,"35,878,000",53.50,58.80,48.15
2596,綠意,21.40,+0.10,21.30,21.40,21.25,21.33,"21,000","448,000",15,21.35,21.40,"100,000,000",21.40,23.50,19.30
2640,大車隊,65.40,-1.00 ,66.00,66.00,65.40,65.66,"12,213","801,884",13,65.50,65.90,"51,195,297",65.40,71.90,58.90
2641,正德,7.42,-0.15 ,7.65,7.65,7.39,7.20,"930,315","6,702,350",132,7.42,7.44,"151,124,642",7.42,8.16,6.68
2643,捷迅,30.00,-0.30 ,30.30,30.35,29.30,29.60,"11,121","329,142",13,29.35,30.10,"26,230,000",30.00,33.00,27.00
2718,晶悅,22.05,除息 ,21.15,22.05,21.15,21.60,"2,000","43,200",2,20.80,22.05,"22,576,000",22.05,24.25,19.85
2719,燦星旅,9.31,-0.02 ,9.30,9.57,9.13,9.40,"38,679","363,604",32,9.31,9.49,"36,292,000",9.31,10.20,8.38
2724,富驛-KY,3.10,-0.10 ,3.10,3.10,3.10,3.10,"1,033","3,201",3,3.10,3.34,"68,172,290",3.10,3.41,2.79
2726,雅茗-KY,58.40,-1.00 ,58.70,58.80,57.90,58.44,"26,000","1,519,400",20,58.00,58.50,"33,635,556",58.40,64.20,52.60
2729,瓦城,237.00,+1.00,234.50,237.00,234.50,235.81,"10,033","2,365,854",10,234.50,237.50,"23,266,000",237.00,260.50,213.50
2732,六角,76.50,-0.30 ,77.00,77.00,75.30,76.28,"73,930","5,639,718",71,76.20,76.60,"38,145,213",76.50,84.10,68.90
2734,易飛網,12.80,-0.50 ,12.80,12.80,12.80,12.80,"3,000","38,400",3,12.80,13.00,"30,259,760",12.80,14.05,11.55
2736,高野,13.15,-0.20 ,13.20,13.20,13.15,13.18,"14,000","184,500",9,13.15,13.30,"48,992,383",13.15,14.45,11.85
2740,天蔥,24.00,0.00 ,24.00,24.30,24.00,24.06,"11,000","264,700",9,24.00,24.20,"17,478,196",24.00,26.40,21.60
2745,五福,22.50,+0.05,22.70,22.70,22.50,22.52,"13,575","305,752",8,22.40,22.45,"29,308,526",22.50,24.75,20.25
2916,滿心,17.60,0.00 ,17.60,17.70,17.60,17.62,"9,007","158,733",7,17.60,17.70,"54,626,878",17.60,19.35,15.85
2924,東凌-KY,34.60,0.00 ,34.60,34.60,34.60,34.60,"2,000","69,200",2,33.05,34.60,"32,805,174",34.60,38.05,31.15
2926,誠品生活,132.50,+0.50,132.00,132.50,132.00,132.21,"11,228","1,484,436",13,132.50,133.00,"47,389,650",132.50,145.50,119.50
2928,紅馬-KY,47.00,+2.00,43.20,47.25,43.20,46.37,"30,207","1,400,725",29,45.55,47.30,"47,301,154",47.00,51.70,42.30
2937,集雅社,17.30,+0.20,17.30,17.40,17.30,17.34,"7,000","121,400",7,16.75,17.30,"32,860,000",17.30,19.00,15.60
3064,泰偉,14.70,-0.30 ,15.30,15.30,13.75,14.19,"19,040","270,188",16,14.30,14.70,"72,105,141",14.70,16.15,13.25
3066,李洲,6.26,-0.04 ,6.26,6.26,6.26,6.18,"2,550","15,770",3,6.01,6.26,"83,070,612",6.26,6.88,5.64
3067,全域,10.35,+0.25,10.00,10.35,10.00,10.18,"2,000","20,350",2,9.66,10.20,"29,025,240",10.35,11.35,9.32
3071,協禧,17.95,-0.15 ,18.10,18.20,17.75,17.96,"131,000","2,352,750",72,17.95,18.00,"120,000,000",17.95,19.70,16.20
3073,凱柏實業,6.02,+0.01,6.21,6.21,6.02,6.08,"40,000","243,350",18,6.01,6.11,"46,463,665",6.02,6.62,5.42
3078,僑威,27.20,-0.15 ,27.30,27.30,27.05,27.15,"306,003","8,307,537",134,27.20,27.30,"227,391,064",27.20,29.90,24.50
3081,聯亞,286.00,-4.00 ,284.00,286.00,281.00,283.73,"528,005","149,812,495",487,284.50,286.00,"90,573,177",286.00,314.50,257.50
3083,網龍,44.50,+3.50,45.10,45.10,42.20,44.10,"7,202,507","317,643,756","3,993",44.40,44.50,"85,704,358",44.50,48.95,40.05
3085,新零售,12.45,+0.05,12.25,12.60,12.25,12.45,"101,004","1,257,648",32,12.40,12.45,"118,081,713",12.45,13.65,11.25
3086,華義,15.95,0.00 ,15.80,15.95,15.80,15.72,"8,480","133,320",9,15.00,15.95,"61,166,127",15.95,17.50,14.40
3088,艾訊,57.30,0.00 ,57.30,57.60,56.90,57.43,"94,084","5,403,172",79,57.30,57.40,"79,418,034",57.30,63.00,51.60
3089,元炬,15.00,-0.40 ,15.30,15.30,15.00,15.13,"22,385","338,775",8,15.10,15.50,"60,113,314",15.00,16.50,13.50
3092,鴻碩,41.95,-0.15 ,42.10,42.15,41.85,42.00,"67,664","2,841,869",58,41.95,42.05,"71,193,155",41.95,46.10,37.80
3093,港建,25.10,0.00 ,25.00,25.40,25.00,25.20,"27,608","695,821",20,25.10,25.40,"36,288,894",25.10,27.60,22.60
3095,及成,3.40,0.00 ,3.40,3.40,3.40,3.40,"2,000","6,800",1,3.40,3.53,"109,276,321",3.40,3.74,3.06
3105,穩懋,143.00,+4.50,136.50,143.00,133.50,139.55,"10,224,797","1,426,895,065","6,573",142.50,143.00,"422,666,384",143.00,157.00,129.00
3114,好德,32.80,-0.50 ,33.40,33.75,32.75,33.29,"1,197,386","39,857,710",585,32.80,32.90,"52,014,239",32.80,36.05,29.55
3115,寶島極,20.30,+0.05,20.10,20.35,20.00,20.04,"118,000","2,364,300",37,20.30,20.40,"43,697,600",20.30,22.30,18.30
3118,進階,30.60,-0.15 ,30.75,30.75,30.55,30.68,"26,080","800,169",11,30.60,30.70,"32,452,860",30.60,33.65,27.55
3122,笙泉,16.10,-0.10 ,15.80,16.20,15.80,15.92,"11,003","175,148",14,15.75,16.10,"39,299,934",16.10,17.70,14.50
3128,昇銳,12.30,-0.20 ,12.60,12.65,12.30,12.53,"139,003","1,741,286",66,12.30,12.40,"42,000,000",12.30,13.50,11.10
3131,弘塑,117.50,-1.50 ,119.00,119.00,117.50,117.89,"11,080","1,306,180",19,117.50,118.00,"24,683,843",117.50,129.00,106.00
3141,晶宏,36.25,-1.00 ,37.20,37.20,36.25,36.55,"805,003","29,425,708",539,36.25,36.40,"63,417,496",36.25,39.85,32.65
3144,新揚科,24.75,+0.10,24.85,24.85,24.50,24.64,"79,000","1,946,550",52,24.65,24.75,"100,637,750",24.75,27.20,22.30
3147,大綜,17.70,-0.70 ,18.40,18.40,17.20,17.70,"79,000","1,398,600",49,17.65,17.85,"34,006,099",17.70,19.45,15.95
