006201,元大富櫃50,13.32,+0.07,13.35,13.42,13.32,13.35,"85,000","1,134,930",30,13.32,13.40,"15,946,000",13.32,14.65,11.99
1815,富喬,16.75,-0.05 ,16.95,17.00,16.75,16.86,"2,114,201","35,637,675",614,16.75,16.80,"433,784,403",16.75,18.40,15.10
2035,唐榮,45.00,+0.05,45.00,45.00,44.70,44.80,"8,000","358,400",5,44.65,44.90,"350,000,000",45.00,49.50,40.50
2061,風青,11.25,-0.05 ,11.25,11.25,11.15,11.21,"4,640","52,017",8,11.10,11.25,"62,075,076",11.25,12.35,10.15
2063,世鎧,38.05,-0.75 ,38.70,38.85,37.90,38.30,"53,000","2,030,000",44,38.05,38.35,"45,000,000",38.05,41.85,34.25
2064,晉椿,16.55,-0.35 ,16.80,16.85,16.40,16.58,"76,000","1,260,300",46,16.55,16.80,"70,000,000",16.55,18.20,14.90
2065,世豐,28.15,0.00 ,28.10,28.15,27.85,27.93,"15,110","422,035",13,27.90,28.10,"32,679,220",28.15,30.95,25.35
2066,世德,79.90,+0.30,78.40,79.90,78.20,79.13,"11,000","870,400",11,78.30,80.00,"36,502,870",79.90,87.80,72.00
2067,嘉鋼,16.00,0.00 ,16.00,16.00,16.00,16.00,"1,000","16,000",1,15.65,16.00,"45,138,177",16.00,17.60,14.40
2221,大甲,34.70,+1.05,33.85,34.90,33.50,34.22,"419,000","14,339,250",320,34.70,34.75,"42,425,000",34.70,38.15,31.25
2230,泰茂,11.00,+0.10,10.85,11.05,10.80,10.92,"27,000","294,850",18,10.85,11.00,"39,617,338",11.00,12.10,9.90
2233,宇隆,112.00,+1.00,111.50,112.50,111.50,112.04,"274,050","30,704,123",264,112.00,112.50,"49,214,766",112.00,123.00,101.00
2235,謚源,49.75,-0.45 ,49.75,49.90,49.75,49.84,"5,000","249,200",5,49.70,50.10,"35,878,000",49.75,54.70,44.80
2596,綠意,22.15,+0.05,22.50,22.60,21.80,22.18,"149,000","3,305,250",108,22.10,22.15,"100,000,000",22.15,24.35,19.95
2640,大車隊,67.60,+0.70,66.60,67.60,66.60,67.02,"38,402","2,573,738",31,67.50,67.70,"51,195,297",67.60,74.30,60.90
2641,正德,8.49,-0.05 ,8.58,8.60,8.44,8.51,"354,528","3,016,283",217,8.48,8.49,"151,124,642",8.49,9.33,7.65
2643,捷迅,30.15,0.00 ,30.15,30.15,30.15,30.15,"2,000","60,300",2,30.05,30.40,"26,230,000",30.15,33.15,27.15
2718,晶悅, ---,--- ,---,---,---,22.35,0,0,0,21.00,23.10,"22,576,000",22.35,24.55,20.15
2719,燦星旅,7.85,+0.31,7.80,8.00,7.70,7.87,"68,000","534,840",38,7.82,7.88,"36,292,000",7.85,8.63,7.07
2724,富驛-KY,3.25,0.00 ,3.20,3.25,3.20,3.22,"43,004","138,262",4,3.25,3.35,"68,172,290",3.25,3.57,2.93
2726,雅茗-KY,61.50,0.00 ,61.50,61.50,60.40,60.77,"56,000","3,403,300",30,60.40,61.70,"33,646,716",61.50,67.60,55.40
2729,瓦城,232.50,-3.00 ,233.00,233.00,232.50,232.80,"15,207","3,540,248",20,232.50,233.00,"23,266,000",232.50,255.50,209.50
2732,六角,78.40,+0.60,78.00,78.60,78.00,78.33,"44,184","3,460,831",40,78.30,78.80,"38,145,213",78.40,86.20,70.60
2734,易飛網,13.30,+0.10,13.50,13.50,13.25,13.40,"13,000","174,200",11,13.25,13.35,"30,259,760",13.30,14.60,12.00
2736,高野,13.60,0.00 ,13.60,13.80,13.60,13.70,"16,000","219,200",9,13.60,13.75,"48,992,383",13.60,14.95,12.25
2740,天蔥,25.70,-0.30 ,25.70,25.70,25.70,25.70,"1,000","25,700",1,25.60,25.70,"15,978,196",25.70,28.25,23.15
2745,五福,23.70,-0.05 ,23.60,23.70,23.60,23.66,"5,000","118,300",4,23.60,23.90,"29,308,526",23.70,26.05,21.35
2916,滿心,17.10,-0.60 ,17.55,17.55,17.10,17.11,"41,000","701,550",14,17.10,17.70,"54,626,878",17.10,18.80,15.40
2924,東凌-KY, ---,--- ,---,---,---,34.60,0,0,0,32.95,0.00,"32,805,174",34.60,38.05,31.15
2926,誠品生活,133.00,+0.50,133.00,133.50,133.00,133.06,"12,200","1,623,300",13,133.00,133.50,"47,389,650",133.00,146.00,120.00
2928,紅馬-KY,43.90,-0.65 ,44.00,44.85,43.10,43.66,"104,000","4,540,600",81,43.55,43.95,"47,301,154",43.90,48.25,39.55
2937,集雅社, ---,--- ,---,---,---,18.35,0,0,0,18.00,18.10,"32,860,000",18.10,19.90,16.30
3064,泰偉,18.60,+0.10,18.60,18.60,18.60,18.58,"9,200","170,980",6,18.40,18.60,"72,105,141",18.60,20.45,16.75
3066,李洲,6.42,-0.07 ,6.42,6.42,6.42,6.39,"6,650","42,511",5,6.31,6.41,"83,070,612",6.42,7.06,5.78
3067,全域,10.20,+0.15,10.00,10.20,10.00,10.10,"2,000","20,200",2,9.90,10.45,"29,025,240",10.20,11.20,9.18
3071,協禧,19.45,0.00 ,19.50,19.55,19.35,19.42,"96,178","1,867,884",60,19.40,19.45,"120,000,000",19.45,21.35,17.55
3073,凱柏實業,6.70,0.00 ,6.70,6.70,6.62,6.69,"49,120","328,838",19,6.68,7.24,"46,463,665",6.70,7.37,6.03
3078,僑威,29.20,除息 ,29.60,29.80,29.20,29.55,"2,629,987","77,717,715","1,004",29.20,29.25,"227,391,064",29.20,32.10,26.30
3081,聯亞,256.00,+0.50,256.50,259.00,255.00,256.90,"204,238","52,469,261",196,256.00,257.00,"90,573,177",256.00,281.50,230.50
3083,網龍,35.50,+0.65,35.10,35.70,35.10,35.36,"133,000","4,703,000",92,35.35,35.50,"85,704,358",35.50,39.05,31.95
3085,新零售,14.00,0.00 ,14.00,14.45,13.95,14.02,"110,149","1,543,820",47,13.90,14.00,"118,081,713",14.00,15.40,12.60
3086,華義,14.20,+0.55,14.30,14.30,14.20,13.65,"7,834","106,942",15,14.00,14.25,"61,166,127",14.20,15.60,12.80
3088,艾訊,58.30,-0.10 ,58.40,58.60,58.10,58.30,"84,037","4,899,259",73,58.20,58.30,"79,418,034",58.30,64.10,52.50
3089,遠昇, ---,--- ,---,---,---,16.00,1,16,1,15.15,15.85,"60,113,314",15.85,17.40,14.30
3092,鴻碩,44.15,+0.05,44.50,44.50,44.10,44.23,"66,385","2,936,380",57,44.10,44.20,"71,193,155",44.15,48.55,39.75
3093,港建,25.15,-0.20 ,25.45,25.45,25.00,25.11,"65,000","1,632,450",18,25.10,25.25,"36,288,894",25.15,27.65,22.65
3095,及成,3.50,+0.05,3.32,3.50,3.32,3.43,"18,480","63,445",7,3.50,3.73,"109,276,321",3.50,3.85,3.15
