006201,元大富櫃50,13.22,0.00 ,13.22,13.24,13.22,13.22,"11,000","145,450",9,13.16,13.20,"15,946,000",13.22,14.54,11.90
4908,前鼎,21.50,-0.10 ,21.35,21.55,21.35,21.42,"42,000","899,750",28,21.35,21.50,"78,217,907",21.50,23.65,19.35
4909,新復興,17.90,-0.25 ,18.10,18.20,17.80,17.96,"160,499","2,881,831",94,17.85,17.90,"93,356,864",17.90,19.65,16.15
4911,德英,40.00,-0.50 ,40.25,40.50,40.00,40.19,"10,006","402,092",11,40.00,40.45,"55,660,000",40.00,44.00,36.00
4924,欣厚-KY,9.19,+0.01,9.20,9.20,9.16,9.18,"40,000","367,100",13,9.19,9.20,"37,164,409",9.19,10.10,8.28
4933,友輝,21.00,-0.20 ,21.20,21.20,20.70,20.90,"96,600","2,018,530",60,21.00,21.05,"77,331,675",21.00,23.10,18.90
4939,亞電,21.40,-0.20 ,21.50,22.10,21.30,21.85,"3,036,300","66,344,269",932,21.40,21.45,"98,200,868",21.40,23.50,19.30
4944,兆遠,15.35,-0.35 ,15.70,15.70,15.25,15.42,"870,768","13,423,532",422,15.35,15.40,"211,507,563",15.35,16.85,13.85
4946,辣椒,36.05,-0.55 ,36.00,36.55,35.90,36.42,"60,000","2,185,350",20,36.00,36.55,"27,320,796",36.05,39.65,32.45
4947,昂寶-KY,204.00,-2.00 ,205.00,205.00,201.00,203.42,"274,288","55,796,040",257,204.00,204.50,"55,986,268",204.00,224.00,184.00
4950,牧東, ---,--- ,---,---,---,17.40,0,0,0,17.00,17.30,"45,779,000",17.30,19.00,15.60
4953,緯軟,71.70,-0.60 ,72.30,73.30,70.80,71.83,"1,417,812","101,836,512","1,106",71.60,71.70,"48,213,754",71.70,78.80,64.60
4966,譜瑞-KY,462.50,-8.50 ,471.00,472.00,457.00,463.33,"227,275","105,302,375",228,462.50,463.50,"79,033,888",462.50,508.00,416.50
4971,IET-KY,64.40,0.00 ,64.50,65.80,63.60,64.57,"113,608","7,335,912",102,64.40,64.50,"36,135,543",64.40,70.80,58.00
4972,湯石照明,35.55,-0.15 ,35.70,35.70,35.35,35.43,"31,000","1,098,450",26,35.35,35.55,"39,896,303",35.55,39.10,32.00
4973,廣穎,15.00,-0.15 ,15.15,15.15,15.00,15.04,"8,000","120,300",7,15.00,15.10,"64,775,833",15.00,16.50,13.50
4974,亞泰,43.80,-0.50 ,44.30,44.30,43.70,43.80,"142,001","6,220,344",93,43.70,43.80,"72,500,104",43.80,48.15,39.45
4979,華星光,22.25,-0.20 ,22.20,22.50,21.90,22.24,"120,521","2,680,817",90,22.20,22.30,"102,948,279",22.25,24.45,20.05
4987,科誠,62.20,+0.20,62.80,62.80,62.20,62.59,"12,200","763,640",11,62.20,62.50,"25,200,000",62.20,68.40,56.00
4991,環宇-KY,57.70,-0.60 ,58.80,58.80,57.30,58.02,"406,002","23,554,320",260,57.70,57.90,"82,141,126",57.70,63.40,52.00
4995,晶達,33.90,+0.25,33.30,33.90,33.30,33.60,"2,003","67,299",5,33.30,33.80,"36,907,053",33.90,37.25,30.55
5009,榮剛,18.15,-0.05 ,18.20,18.20,18.00,18.10,"310,810","5,624,780",136,18.15,18.20,"466,735,991",18.15,19.95,16.35
