2038,2018/06,11.55,-0.2,-1.7,18.13,"61,521",33.9,-180,690,1.1,0,0,0,0,0,"61,521",33.9,-180,690,1.1,0.6
2105,2018/06,45.85,+0.25,+0.5,324.1,"384,919",11.9,+385,0,0,0,0,0,0,0,"384,919",11.9,+385,0,0,9.9
2107,2018/06,14.5,-0.45,-3,37,"54,549",14.7,+475,"20,350",37.3,0,0,0,0,0,"54,549",14.7,+475,"20,350",37.3,13.2
2109,2018/06,15.6,+1.3,+9.1,33.23,"32,966",9.9,"-2,269",0,0,0,0,0,0,0,"32,966",9.9,"-2,269",0,0,14.9
2321,2018/06,3.26,+0.83,+34.2,63.07,"93,134",14.8,"-1,513",0,0,0,0,0,0,0,"93,134",14.8,"-1,513",0,0,3.9
2323,2018/06,9,-1,-10,183.1,"161,733",8.8,-20,0,0,0,0,0,0,0,"161,733",8.8,-20,0,0,11.3
2329,2018/06,10.15,-0.35,-3.3,80.6,"21,592",2.7,+250,0,0,0,0,0,0,0,"21,592",2.7,+250,0,0,30
2331,2018/06,17.55,+0.05,+0.3,55.74,"70,067",12.6,"-152,475",0,0,0,0,0,0,0,"70,067",12.6,"-152,475",0,0,15.8
2332,2018/06,13.9,-1.2,-7.9,65.2,"50,563",7.8,"+7,356",0,0,0,0,0,0,0,"50,563",7.8,"+7,356",0,0,14.8
2338,2018/06,33.05,+6.45,+24.2,25.27,"13,509",5.3,-140,0,0,0,0,0,0,0,"13,509",5.3,-140,0,0,5.4
2349,2018/06,14.65,-0.75,-4.9,176.7,"42,588",2.4,0,0,0,24,0,-10,0,0,"42,611",2.4,-10,0,0,15.7
2351,2018/06,84.3,+4.6,+5.8,18.21,"22,279",12.2,+5,0,0,0,0,0,0,0,"22,279",12.2,+5,0,0,13.6
2355,2018/06,38.6,-1.1,-2.8,39.75,"49,027",12.3,-9,"4,082",8.3,58,0,0,0,0,"49,085",12.3,-9,"4,082",8.3,31.4
2373,2018/06,90.3,0,0,23.62,"122,875",52,+958,"54,916",44.7,0,0,0,0,0,"122,875",52,+958,"54,916",44.7,2.5
2376,2018/06,67.4,-11.7,-14.8,63.57,"68,836",10.8,"+9,063","25,690",37.3,0,0,0,0,0,"68,836",10.8,"+9,063","25,690",37.3,48.2
2377,2018/06,94.2,-30.8,-24.6,84.49,"117,945",14,"-32,430",0,0,419,0,+419,0,0,"118,363",14,"-32,011",0,0,44.2
